,Fund-K,KOSPI
Cumulative Return,1.05919661294113,1.2438036513597508
monthly return min,-0.13702622535133424,-0.26311175037294665
monthly return max,0.1597432112303474,0.20253714500826203
annual return mean,0.05173158450366944,0.061520777053331255
annual return std,0.11605236846554101,0.24064172274637707
downside std,0.08130361413887388,0.17293516661564445
Maximum drawdown,-0.3213944869733907,-0.4851781001041239
Sharpe ratio,0.44576069568997984,0.2556529946312374
Sortino ratio,0.6362765671807312,0.3557447467585568
Calmar ratio,0.11605236846554101,0.24064172274637705
