,Fund-K,KOSPI
Cumulative Return,4.166964397737779,1.2438036513597508
monthly return min,-0.19471879924767782,-0.26311175037294665
monthly return max,0.17128695925337253,0.20253714500826203
annual return mean,0.21948285079075136,0.061520777053331255
annual return std,0.18960697819055983,0.24064172274637707
downside std,0.09836067635304224,0.17293516661564445
Maximum drawdown,-0.3213944869733907,-0.4851781001041239
Sharpe ratio,1.1575673684866468,0.2556529946312374
Sortino ratio,2.2314085153600396,0.3557447467585568
Calmar ratio,0.18960697819055983,0.24064172274637705
